,,numbers,frequency
most_frequent,18,19,174
most_frequent,5,6,173
most_frequent,21,22,171
most_frequent,13,14,171
most_frequent,1,2,170
most_frequent,33,34,167
most_frequent,4,5,164
most_frequent,12,13,164
most_frequent,14,15,164
most_frequent,9,10,163
least_frequent,26,27,130
least_frequent,22,23,136
least_frequent,17,18,138
least_frequent,47,48,140
least_frequent,32,33,140
least_frequent,23,24,140
least_frequent,38,39,142
least_frequent,6,7,142
least_frequent,30,31,143
least_frequent,20,21,144
